Tm,W,L,T,Position,Reason
Baltimore Ravens (1),14,2,0,North Champion,
Kansas City Chiefs (2),12,4,0,West Champion,head-to-head record
New England Patriots (3),12,4,0,East Champion,
Houston Texans (4),10,6,0,South Champion,
Buffalo Bills (5),10,6,0,Wild Card #1,
Tennessee Titans (6),9,7,0,Wild Card #2,
Pittsburgh Steelers,8,8,0,,
Denver Broncos,7,9,0,,conference win percentage
Oakland Raiders,7,9,0,,head-to-head record
Indianapolis Colts,7,9,0,,conference win percentage
New York Jets,7,9,0,,
Jacksonville Jaguars,6,10,0,,win percentage in common games
Cleveland Browns,6,10,0,,
Los Angeles Chargers,5,11,0,,head-to-head record
Miami Dolphins,5,11,0,,
Cincinnati Bengals,2,14,0,,
