Tm,W,L,T,Position,Reason
New England Patriots (1),14,2,0,East Champion,
Kansas City Chiefs (2),12,4,0,West Champion,head-to-head record
Pittsburgh Steelers (3),11,5,0,North Champion,
Houston Texans (4),9,7,0,South Champion,division win percentage
Oakland Raiders (5),12,4,0,Wild Card #1,
Miami Dolphins (6),10,6,0,Wild Card #2,
Tennessee Titans,9,7,0,,head-to-head record
Denver Broncos,9,7,0,,
Baltimore Ravens,8,8,0,,conference win percentage
Indianapolis Colts,8,8,0,,
Buffalo Bills,7,9,0,,
Cincinnati Bengals,6,9,1,,
New York Jets,5,11,0,,win percentage in common games
San Diego Chargers,5,11,0,,
Jacksonville Jaguars,3,13,0,,
Cleveland Browns,1,15,0,,
