Tm,W,L,T,Position,Reason
San Francisco 49ers (1),13,3,0,West Champion,head-to-head record
Green Bay Packers (2),13,3,0,North Champion,conference win percentage
New Orleans Saints (3),13,3,0,South Champion,
Philadelphia Eagles (4),9,7,0,East Champion,
Seattle Seahawks (5),11,5,0,Wild Card #1,
Minnesota Vikings (6),10,6,0,Wild Card #2,
Los Angeles Rams,9,7,0,,
Chicago Bears,8,8,0,,head-to-head record
Dallas Cowboys,8,8,0,,
Atlanta Falcons,7,9,0,,division win percentage
Tampa Bay Buccaneers,7,9,0,,
Arizona Cardinals,5,10,1,,
Carolina Panthers,5,11,0,,
New York Giants,4,12,0,,
Detroit Lions,3,12,1,,
Washington Redskins,3,13,0,,
