,,,,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
,Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
,1,Houston Texans,16,214,61,28.50%,12,7,58.30%,39,22,56.40%
,2,Seattle Seahawks,16,195,67,34.40%,7,1,14.30%,38,16,42.10%
,3,New Orleans Saints,16,176,71,40.30%,13,10,76.90%,65,44,67.70%
,4,Minnesota Vikings,16,206,71,34.50%,22,11,50.00%,43,19,44.20%
,5,Kansas City Chiefs,16,217,72,33.20%,27,13,48.10%,40,24,60.00%
,6,San Diego Chargers,16,195,74,37.90%,8,7,87.50%,46,23,50.00%
,7,Arizona Cardinals,16,210,75,35.70%,17,8,47.10%,47,26,55.30%
,8,New York Jets,16,232,77,33.20%,23,13,56.50%,40,14,35.00%
,9,Washington Redskins,16,207,78,37.70%,20,11,55.00%,49,27,55.10%
,10,St. Louis Rams,16,225,78,34.70%,15,4,26.70%,48,20,41.70%
,11,Green Bay Packers,16,220,79,35.90%,21,10,47.60%,49,28,57.10%
,12,Denver Broncos,16,227,80,35.20%,14,5,35.70%,37,22,59.50%
,13,Dallas Cowboys,16,208,81,38.90%,10,5,50.00%,49,25,51.00%
,14,Cleveland Browns,16,203,81,39.90%,15,10,66.70%,62,36,58.10%
,15,Atlanta Falcons,16,191,82,42.90%,15,5,33.30%,53,33,62.30%
,16,Detroit Lions,16,200,82,41.00%,8,5,62.50%,59,37,62.70%
,17,San Francisco 49ers,16,210,82,39.00%,11,6,54.50%,54,32,59.30%
,18,New England Patriots,16,225,84,37.30%,18,8,44.40%,42,24,57.10%
,19,Oakland Raiders,16,224,84,37.50%,17,9,52.90%,58,30,51.70%
,20,Buffalo Bills,16,210,85,40.50%,13,3,23.10%,45,27,60.00%
,21,Cincinnati Bengals,16,218,86,39.40%,20,9,45.00%,38,18,47.40%
,22,Baltimore Ravens,16,216,86,39.80%,9,4,44.40%,47,25,53.20%
,23,Carolina Panthers,16,227,86,37.90%,26,15,57.70%,40,21,52.50%
,24,Indianapolis Colts,16,227,89,39.20%,14,10,71.40%,53,33,62.30%
,25,Chicago Bears,16,201,89,44.30%,12,5,41.70%,45,27,60.00%
,26,Pittsburgh Steelers,16,225,90,40.00%,24,7,29.20%,57,28,49.10%
,27,Tennessee Titans,16,216,92,42.60%,12,4,33.30%,53,33,62.30%
,28,Miami Dolphins,16,221,96,43.40%,12,4,33.30%,50,30,60.00%
,29,Tampa Bay Buccaneers,16,211,97,46.00%,6,4,66.70%,56,36,64.30%
,30,Philadelphia Eagles,16,231,99,42.90%,9,6,66.70%,61,40,65.60%
,31,Jacksonville Jaguars,16,227,105,46.30%,12,6,50.00%,57,35,61.40%
,32,New York Giants,16,230,108,47.00%,14,8,57.10%,52,28,53.80%
,,League Total,,,,,,,,,,
