,,,,Downs,Downs,Downs,Downs,Downs,Downs,Red Zone,Red Zone,Red Zone
,Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
,1,Minnesota Vikings,16,190,58,30.50%,19,9,47.40%,49,22,44.90%
,2,Seattle Seahawks,16,183,64,35.00%,13,6,46.20%,51,25,49.00%
,3,Detroit Lions,16,186,69,37.10%,17,9,52.90%,47,27,57.40%
,4,Los Angeles Rams,16,188,70,37.20%,15,9,60.00%,52,30,57.70%
,5,Philadelphia Eagles,16,201,71,35.30%,19,11,57.90%,56,25,44.60%
,6,Baltimore Ravens,16,211,72,34.10%,20,10,50.00%,41,26,63.40%
,7,Pittsburgh Steelers,16,197,72,36.50%,13,7,53.80%,49,29,59.20%
,8,New York Jets,16,213,72,33.80%,14,9,64.30%,59,31,52.50%
,9,Tampa Bay Buccaneers,16,181,73,40.30%,14,7,50.00%,58,45,77.60%
,10,Carolina Panthers,16,183,73,39.90%,17,10,58.80%,47,33,70.20%
,11,Buffalo Bills,16,203,74,36.50%,11,6,54.50%,48,34,70.80%
,12,Chicago Bears,16,219,75,34.20%,28,16,57.10%,40,20,50.00%
,13,Tennessee Titans,16,205,75,36.60%,20,11,55.00%,47,21,44.70%
,14,Cleveland Browns,16,210,75,35.70%,20,13,65.00%,54,33,61.10%
,15,New England Patriots,16,197,76,38.60%,16,6,37.50%,46,27,58.70%
,16,New Orleans Saints,16,189,78,41.30%,29,14,48.30%,49,31,63.30%
,17,Arizona Cardinals,16,205,78,38.00%,13,8,61.50%,53,33,62.30%
,18,Green Bay Packers,16,212,79,37.30%,18,12,66.70%,56,34,60.70%
,19,Los Angeles Chargers,16,202,79,39.10%,20,11,55.00%,50,25,50.00%
,20,Jacksonville Jaguars,16,212,80,37.70%,12,3,25.00%,47,24,51.10%
,21,Kansas City Chiefs,16,193,80,41.50%,27,18,66.70%,58,42,72.40%
,22,Denver Broncos,16,211,82,38.90%,11,6,54.50%,43,25,58.10%
,23,Indianapolis Colts,16,200,82,41.00%,15,7,46.70%,43,23,53.50%
,24,Miami Dolphins,16,196,84,42.90%,15,6,40.00%,61,37,60.70%
,25,Dallas Cowboys,16,201,85,42.30%,14,6,42.90%,49,25,51.00%
,26,Washington Redskins,16,196,86,43.90%,13,5,38.50%,52,27,51.90%
,27,New York Giants,16,206,87,42.20%,17,14,82.40%,58,33,56.90%
,28,San Francisco 49ers,16,216,87,40.30%,17,10,58.80%,58,38,65.50%
,29,Houston Texans,16,227,91,40.10%,20,12,60.00%,41,29,70.70%
,30,Oakland Raiders,16,201,93,46.30%,12,8,66.70%,62,37,59.70%
,31,Atlanta Falcons,16,195,95,48.70%,13,10,76.90%,54,38,70.40%
,32,Cincinnati Bengals,16,223,109,48.90%,17,11,64.70%,61,39,63.90%
,,League Total,,,,,,,,,,
