Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2:00 PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,New England Patriots,16,17,25,,,2,3,2,49,2,4,,39,45,27,34,1,420,26.3
2,Buffalo Bills,16,13,21,,1,,,,35,3,3,,30,32,22,28,1,314,19.6
31,Carolina Panthers,16,20,17,,,1,,,38,1,3,,31,35,25,32,2,340,21.3
32,Miami Dolphins,16,10,22,,1,,1,,34,1,4,,29,30,23,30,1,306,19.1
