Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2:00 PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Minnesota Vikings,16,15,25,,,,1,,41,2,2,,34,39,32,38,1,382,23.9
2,Jacksonville Jaguars,16,18,21,1,,5,2,,47,3,6,1,37,41,30,35,,415,26.1
31,Cleveland Browns,16,11,15,,,,1,,27,1,1,,25,26,15,20,,234,14.6
32,Houston Texans,16,8,28,,,2,2,,40,2,5,,32,35,20,25,1,338,21.1
