Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2:00 PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,New England Patriots,16,19,32,,,,,,51,1,2,,46,49,27,32,3,441,27.6
2,New York Giants,16,6,26,,,2,1,1,36,,1,,31,35,21,22,,310,19.4
31,New Orleans Saints,16,17,38,,,,,,55,2,5,,49,50,28,34,1,469,29.3
32,San Francisco 49ers,16,15,21,,,,,,36,2,2,,33,34,18,21,1,309,19.3
